chain,group,cbs_code,cbs_name,product_name,barcode,brand,kind,match
carrefour,food,120220,מרגרינה,מרגרינה ללא מלח לאפיה ובישול שמרית 200גר,7290000453880,גרונבאנג- גרונדנסק א,packaged,shared/4
ramilevy,food,120220,מרגרינה,מרגרינה בטעם חמאה שמרית 200 גר,7290000453897,גרונבאנג- גרונדנסק א,packaged,shared/4
ramilevy,food,120220,מרגרינה,מרגרינה בטעם חמאה200גרם,8719200998018,"מיוצר ע""י יוניליוור",packaged,shared/3
ramilevy,food,120220,מרגרינה,מרגרינה ללא מלח לאפיה ובישול שמרית 200גר,7290000453880,גרונבאנג- גרונדנסק א,packaged,shared/4
shufersal,food,120220,מרגרינה,מרגרינה בטעם חמאה שמרית 200 גר,7290000453897,גרונבאנג- גרונדנסק א,packaged,shared/4
shufersal,food,120220,מרגרינה,מרגרינה בטעם חמאה200גרם,8719200998018,"מיוצר ע""י יוניליוור",packaged,shared/3
shufersal,food,120220,מרגרינה,מרגרינה ללא מלח לאפיה ובישול שמרית 200גר,7290000453880,גרונבאנג- גרונדנסק א,packaged,shared/4
tivtaam,food,120220,מרגרינה,מרגרינה בטעם חמאה שמרית 200 גר,7290000453897,גרונבאנג- גרונדנסק א,packaged,shared/4
tivtaam,food,120220,מרגרינה,מרגרינה ללא מלח לאפיה ובישול שמרית 200גר,7290000453880,גרונבאנג- גרונדנסק א,packaged,shared/4
carrefour,food,120240,חלב,חלב טרי 2% דל לקטוז 1 ל,7290000040974,"תנובה, מחלבת רחובות",packaged,shared/4
carrefour,food,120240,חלב,חלב יטבתה 3% מועשר 2 ליטר,7290003029815,מחלבת יטבתה,packaged,shared/4
carrefour,food,120240,חלב,חלב מלא 3.8% 1ליטר תנובה,7290000051352,הרדוף תוצרת מזון אור,packaged,shared/4
ramilevy,food,120240,חלב,חלב טרי 2% דל לקטוז 1 ל,7290000040974,"תנובה, מחלבת רחובות",packaged,shared/4
ramilevy,food,120240,חלב,חלב יטבתה 3% מועשר 2 ליטר,7290003029815,מחלבת יטבתה,packaged,shared/4
ramilevy,food,120240,חלב,חלב מלא 3.8% 1ליטר תנובה,7290000051352,הרדוף תוצרת מזון אור,packaged,shared/4
shufersal,food,120240,חלב,חלב טרי 2% דל לקטוז 1 ל,7290000040974,"תנובה, מחלבת רחובות",packaged,shared/4
shufersal,food,120240,חלב,חלב יטבתה 3% מועשר 2 ליטר,7290003029815,מחלבת יטבתה,packaged,shared/4
shufersal,food,120240,חלב,חלב מלא 3.8% 1ליטר תנובה,7290000051352,הרדוף תוצרת מזון אור,packaged,shared/4
tivtaam,food,120240,חלב,חלב טרי 2% דל לקטוז 1 ל,7290000040974,"תנובה, מחלבת רחובות",packaged,shared/4
tivtaam,food,120240,חלב,חלב יטבתה 3% מועשר 2 ליטר,7290003029815,מחלבת יטבתה,packaged,shared/4
tivtaam,food,120240,חלב,חלב מלא 3.8% 1ליטר תנובה,7290000051352,הרדוף תוצרת מזון אור,packaged,shared/4
carrefour,food,120250,"לבן, יוגורט ומעדני חלב","דנונה תות 3% 150 מ""ל",7290006664532,"שטראוס בריאות בע""מ",packaged,shared/4
carrefour,food,120250,"לבן, יוגורט ומעדני חלב",יוגורט כדים תנובה 1.,7290000043944,מחלבת אלון תבור,packaged,shared/4
carrefour,food,120250,"לבן, יוגורט ומעדני חלב",מעדן חלב מלבי גד 160,7290000554402,"מיוצר ע""י קוד יצרן E",packaged,shared/4
ramilevy,food,120250,"לבן, יוגורט ומעדני חלב","דנונה תות 3% 150 מ""ל",7290006664532,"שטראוס בריאות בע""מ",packaged,shared/4
ramilevy,food,120250,"לבן, יוגורט ומעדני חלב",יוגורט כדים תנובה 1.,7290000043944,מחלבת אלון תבור,packaged,shared/4
ramilevy,food,120250,"לבן, יוגורט ומעדני חלב",מעדן חלב מלבי גד 160,7290000554402,"מיוצר ע""י קוד יצרן E",packaged,shared/4
shufersal,food,120250,"לבן, יוגורט ומעדני חלב","דנונה תות 3% 150 מ""ל",7290006664532,"שטראוס בריאות בע""מ",packaged,shared/4
shufersal,food,120250,"לבן, יוגורט ומעדני חלב",יוגורט כדים תנובה 1.,7290000043944,מחלבת אלון תבור,packaged,shared/4
shufersal,food,120250,"לבן, יוגורט ומעדני חלב",מעדן חלב מלבי גד 160,7290000554402,"מיוצר ע""י קוד יצרן E",packaged,shared/4
tivtaam,food,120250,"לבן, יוגורט ומעדני חלב","דנונה תות 3% 150 מ""ל",7290006664532,"שטראוס בריאות בע""מ",packaged,shared/4
tivtaam,food,120250,"לבן, יוגורט ומעדני חלב",יוגורט כדים תנובה 1.,7290000043944,מחלבת אלון תבור,packaged,shared/4
tivtaam,food,120250,"לבן, יוגורט ומעדני חלב",מעדן חלב מלבי גד 160,7290000554402,"מיוצר ע""י קוד יצרן E",packaged,shared/4
carrefour,food,120260,שמנת,"שמנת לבישול 9% 250 מ""ל",7290106520912,מחלבת יטבתה,packaged,shared/4
carrefour,food,120260,שמנת,שמנת להקצפה38% תנובה500מ,7290000058047,תנובה,packaged,shared/4
carrefour,food,120260,שמנת,"שמנת עמידה לקצפת 38% 250 מ""ל",7290104728310,מחלבת יטבתה,packaged,shared/4
ramilevy,food,120260,שמנת,"שמנת לבישול 9% 250 מ""ל",7290106520912,מחלבת יטבתה,packaged,shared/4
ramilevy,food,120260,שמנת,שמנת להקצפה38% תנובה500מ,7290000058047,תנובה,packaged,shared/4
ramilevy,food,120260,שמנת,"שמנת עמידה לקצפת 38% 250 מ""ל",7290104728310,מחלבת יטבתה,packaged,shared/4
shufersal,food,120260,שמנת,"שמנת לבישול 9% 250 מ""ל",7290106520912,מחלבת יטבתה,packaged,shared/4
shufersal,food,120260,שמנת,שמנת להקצפה38% תנובה500מ,7290000058047,תנובה,packaged,shared/4
shufersal,food,120260,שמנת,"שמנת עמידה לקצפת 38% 250 מ""ל",7290104728310,מחלבת יטבתה,packaged,shared/4
tivtaam,food,120260,שמנת,"שמנת לבישול 9% 250 מ""ל",7290106520912,מחלבת יטבתה,packaged,shared/4
tivtaam,food,120260,שמנת,שמנת להקצפה38% תנובה500מ,7290000058047,תנובה,packaged,shared/4
tivtaam,food,120260,שמנת,"שמנת עמידה לקצפת 38% 250 מ""ל",7290104728310,מחלבת יטבתה,packaged,shared/4
carrefour,food,120270,חמאה,"חמאה לל""ת מלח200ג ואליו",7290008175173,ואליו אל.טי.די,packaged,shared/4
carrefour,food,120270,חמאה,חמאה מהדרין 200ג תנובה,7290116932033,"תנובה בע""מ",packaged,shared/4
carrefour,food,120270,חמאה,מזולה בטעם חמאה 250 גרם,8719200998032,"מיוצר ע""י יוניליוור",packaged,shared/4
ramilevy,food,120270,חמאה,"חמאה לל""ת מלח200ג ואליו",7290008175173,ואליו אל.טי.די,packaged,shared/4
ramilevy,food,120270,חמאה,חמאה מהדרין 200ג תנובה,7290116932033,"תנובה בע""מ",packaged,shared/4
ramilevy,food,120270,חמאה,מזולה בטעם חמאה 250 גרם,8719200998032,"מיוצר ע""י יוניליוור",packaged,shared/4
shufersal,food,120270,חמאה,"חמאה לל""ת מלח200ג ואליו",7290008175173,ואליו אל.טי.די,packaged,shared/4
shufersal,food,120270,חמאה,חמאה מהדרין 200ג תנובה,7290116932033,"תנובה בע""מ",packaged,shared/4
shufersal,food,120270,חמאה,מזולה בטעם חמאה 250 גרם,8719200998032,"מיוצר ע""י יוניליוור",packaged,shared/4
tivtaam,food,120270,חמאה,"חמאה לל""ת מלח200ג ואליו",7290008175173,ואליו אל.טי.די,packaged,shared/4
tivtaam,food,120270,חמאה,חמאה מהדרין 200ג תנובה,7290116932033,"תנובה בע""מ",packaged,shared/4
tivtaam,food,120270,חמאה,מזולה בטעם חמאה 250 גרם,8719200998032,"מיוצר ע""י יוניליוור",packaged,shared/4
carrefour,food,120280,גבינה,** גד בייבי מוצרלה 1,7290006492432,מחלבות גד בעמ,packaged,shared/4
carrefour,food,120280,גבינה,קוטג טרה 5% ווסטהיים,7290114310918,",",packaged,shared/4
carrefour,food,120280,גבינה,קשקבל צ'אנק 150 גר'.,7290108504279,ג.וילי פוד אינטרנשיו,packaged,shared/4
ramilevy,food,120280,גבינה,** גד בייבי מוצרלה 1,7290006492432,מחלבות גד בעמ,packaged,shared/4
ramilevy,food,120280,גבינה,קוטג טרה 5% ווסטהיים,7290114310918,",",packaged,shared/4
ramilevy,food,120280,גבינה,קשקבל צ'אנק 150 גר'.,7290108504279,ג.וילי פוד אינטרנשיו,packaged,shared/4
shufersal,food,120280,גבינה,** גד בייבי מוצרלה 1,7290006492432,מחלבות גד בעמ,packaged,shared/4
shufersal,food,120280,גבינה,קוטג טרה 5% ווסטהיים,7290114310918,",",packaged,shared/4
shufersal,food,120280,גבינה,קשקבל צ'אנק 150 גר'.,7290108504279,ג.וילי פוד אינטרנשיו,packaged,shared/4
tivtaam,food,120280,גבינה,** גד בייבי מוצרלה 1,7290006492432,מחלבות גד בעמ,packaged,shared/4
tivtaam,food,120280,גבינה,קוטג טרה 5% ווסטהיים,7290114310918,",",packaged,shared/4
tivtaam,food,120280,גבינה,קשקבל צ'אנק 150 גר'.,7290108504279,ג.וילי פוד אינטרנשיו,packaged,shared/4
carrefour,food,120285,גלידות,"גלידה פנטסיה 900 מ""ל שוקו וניל",7290004554354,"גלידת שטראוס בע""מ, ר",packaged,shared/4
carrefour,food,120285,גלידות,גלידה קרמיסימו סרבט תות לימון 650 גרם,7290006681003,"גלידת שטראוס בע""מ, ר",packaged,shared/4
carrefour,food,120285,גלידות,מאגדת חמישיה שלגון וניל עם ש. פיסטוק 99,7290101114338,",",packaged,shared/4
ramilevy,food,120285,גלידות,"גלידה פנטסיה 900 מ""ל שוקו וניל",7290004554354,"גלידת שטראוס בע""מ, ר",packaged,shared/4
