date,chain,store_id,barcode,cbs_code,cbs_name,group,product_name,name,manufacturer,quantity,unit_of_measure,unit_qty,is_weighted,price,unit_price,promo_price,promo_min_qty,promo_desc,promo_id,effective_price,price_update,found,source_file,promo_file
2026-09-16,shufersal,290,7290006251107,120310,תה,food,תה מסאלה צאי 25שק*2גרם,תה מסאלה צאי 25שק*2גרם,ויסוצקי,50.0,100 גרם,גרם,0.0,20.9,41.8,,,,,20.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000345536,120310,תה,food,תה נענע 25 שקיקים 1.5 גרם,תה שחור עם נענע 25ש*1.7ג,ויסוצקי,42.0,100 גרם,גרם,0.0,18.9,45.0,,,,,18.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000176420,120320,קפה,food,** קפה נמס עלית פחית,קפה נמס 200 גרם עלית,שטראוס קפה בי.וי.,200.0,100 גרם,גרם,0.0,25.9,12.95,,,,,25.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000176413,120320,קפה,food,קפה נמס עלית 50 גרם,קפה נמס עלית 50 גרם,שטראוס קפה בי.וי.,50.0,100 גרם,גרם,0.0,12.9,25.8,,,,,12.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290119384044,120320,קפה,food,קפה נמס עלית צ'יקו 1,ציקו בצנצנת 100 גרם,לרו,100.0,100 גרם,גרם,0.0,18.9,18.9,,,,,18.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290003029792,120330,קקאו,food,שוקו בשקית8*225מ יטבתה,שוקו בשקית8*225מ יטבתה,מחלבת יטבתה,1.8,1ליטר,ליטר,0.0,21.9,12.17,,,,,21.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290102398560,120330,קקאו,food,"שוקו ללת""ס בקבוק1ל טרה","שוקו ללת""ס בקבוק1ל טרה",טרה,1.0,1ליטר,ליטר,0.0,14.2,14.2,11.0,2.0,2ב22 משקאות חלב טרה בבקבוק 1 ליטר,4608987.0,11.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290010116980,120330,קקאו,food,שוקולית בשקית850ג עלית,שוקולית בשקית850ג עלית,שטראוס קפה בי.וי.,850.0,100 גרם,גרם,0.0,19.9,2.34,,,,,19.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000136158,120350,משקאות קלים,food,פפסי מקס 1.5 ליטר.,פפסי זירו 1.5 ליטר,"טמפו משקאות בע\""מ",1.5,1ליטר,ליטר,0.0,6.9,4.6,6.45,2.0,2ב12.30 פקדון פפסי/סבן אפ/זירו/פפסי זירו,4612129.0,6.45,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290013585394,120350,משקאות קלים,food,קוקה קולה 1ליטר בודד,קוקה קולה 1 ליטר,---,1.0,1ליטר,ליטר,0.0,7.5,7.5,,,,,7.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290110115364,120350,משקאות קלים,food,קוקה קולה 6*1.5 ליטר,קוקה קולה 6*1.5 ליטר,החברה המרכזית לייצור משק,9.0,1ליטר,ליטר,0.0,47.9,5.32,,,,,47.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
